ISO,Country_EN,Zone,Year,Score,Rank,Political Context,Rank_Pol,Economic Context,Rank_Eco,Legal Context,Rank_Leg,Social Context,Rank_Soc,Safety,Rank_Saf,Rank N-1,Rank evolution,Score evolution
AFG,Afghanistan,Asie-Pacifique,2022,38.27,156,44.65,132,43.88,82,42.54,152,43.33,161,16.96,171,122,-34,
AFG,Afghanistan,Asie-Pacifique,2023,39.75,152,48.96,120,44.93,103,42.77,145,30.68,165,31.41,161,156,4,1.48
AFG,Afghanistan,Asie-Pacifique,2024,19.09,178,20.07,164,29.06,164,16.35,179,16.07,179,13.9,179,152,-26,-20.66
AFG,Afghanistan,Asie-Pacifique,2025,17.88,175,17.78,163,25.1,165,11.43,178,18.92,175,16.16,175,178,3,-1.21
AGO,Angola,Afrique,2022,57.17,99,52.83,100,35.03,127,61.11,106,73,75,63.87,97,103,4,
AGO,Angola,Afrique,2023,48.3,125,43.57,137,31.79,163,51.21,125,54.71,126,60.2,104,99,-26,-8.87
AGO,Angola,Afrique,2024,52.44,104,40.82,115,36.81,128,55.98,109,58.33,102,70.25,100,125,21,4.14
AGO,Angola,Afrique,2025,52.67,100,38.68,118,30.25,155,56.94,101,63.82,76,73.66,98,104,4,0.23
ALB,Albania,Europe - Asie centrale,2022,56.41,103,50.55,113,29.39,154,68.77,75,66.6,98,66.75,90,83,-20,
ALB,Albania,UE Balkans,2023,57.86,96,47.76,124,35.13,148,67.61,68,68.37,77,70.45,93,103,7,1.45
ALB,Albania,UE Balkans,2024,54.1,99,42.27,110,34.64,142,67.47,69,66.96,71,59.16,112,96,-3,-3.76
ALB,Albania,UE Balkans,2025,58.18,80,38.62,119,31.69,147,69.51,53,65.85,68,85.21,70,99,19,4.08
AND,Andorra,Europe - Asie centrale,2022,68.79,53,68.12,50,50.41,54,69.12,71,68.8,91,87.48,22,39,-14,
AND,Andorra,UE Balkans,2023,75.05,37,74.69,31,55.39,49,77.12,42,75.28,62,92.78,10,53,16,6.26
AND,Andorra,UE Balkans,2024,61.44,72,55.07,63,36.46,130,65.38,74,57.14,105,93.15,13,37,-35,-13.61
AND,Andorra,UE Balkans,2025,63.3,65,56.13,57,39.1,105,67.39,68,61.48,84,92.41,21,72,7,1.86
ARE,United Arab Emirates,Maghreb - Moyen-Orient,2022,44.46,138,45.45,126,36.73,118,32.02,165,50.5,144,57.59,111,131,-7,
ARE,United Arab Emirates,MENA,2023,42.99,145,45.63,130,45.1,100,36.79,153,30.68,165,56.77,110,138,-7,-1.47
ARE,United Arab Emirates,MENA,2024,30.62,160,21.16,160,42.5,98,26.54,169,29.52,166,33.39,157,145,-15,-12.37
ARE,United Arab Emirates,MENA,2025,26.91,164,17.23,166,35.05,126,21.2,168,21.76,171,39.3,144,160,-4,-3.71
ARG,Argentina,AmÃ©riques,2022,77.28,29,76.36,28,51.53,50,90.68,2,85.75,29,82.06,39,69,40,
ARG,Argentina,AmÃ©riques,2023,73.36,40,75.25,30,49.8,71,90.66,2,76.82,53,74.27,86,29,-11,-3.92
ARG,Argentina,AmÃ©riques,2024,63.13,66,54.83,65,38.45,119,76.12,37,63.89,80,82.34,75,40,-26,-10.23
ARG,Argentina,AmÃ©riques,2025,56.14,87,38.91,115,35.49,122,71.81,48,55.85,105,78.64,89,66,-21,-6.99
ARM,Armenia,Europe - Asie centrale,2022,68.97,51,66.26,55,44.44,81,77.88,45,76.33,63,79.91,47,63,12,
ARM,Armenia,EEAC,2023,70.61,49,63.75,53,48.53,76,73.82,48,82.95,32,83.98,46,51,2,1.64
ARM,Armenia,EEAC,2024,71.6,43,63.13,47,48.18,70,78.25,30,78.57,33,89.88,34,49,6,0.99
ARM,Armenia,EEAC,2025,73.96,34,65.21,33,52.02,48,84.13,14,76.76,36,91.67,26,43,9,2.36
AUS,Australia,Asie-Pacifique,2022,73.77,39,77.17,27,63.44,30,64.18,96,84.17,33,79.88,48,25,-14,
AUS,Australia,Asie-Pacifique,2023,78.24,27,83.85,18,68.49,26,69.41,63,81.98,35,87.46,33,39,12,4.47
AUS,Australia,Asie-Pacifique,2024,73.42,39,74.43,25,64.58,27,69.23,60,70.41,59,88.44,47,27,-12,-4.82
AUS,Australia,Asie-Pacifique,2025,75.15,29,77.97,21,63.25,25,68.78,59,74.52,47,91.21,30,39,10,1.73
AUT,Austria,Europe - Asie centrale,2022,76.74,31,77.82,26,61.43,37,78.95,41,81.2,46,84.29,31,17,-14,
AUT,Austria,UE Balkans,2023,77.3,29,74.01,33,61.85,32,77.32,39,84.14,29,89.2,26,31,2,0.56
AUT,Austria,UE Balkans,2024,74.69,32,68.99,30,60.2,34,78.45,29,75.3,41,90.53,30,29,-3,-2.61
AUT,Austria,UE Balkans,2025,78.12,22,72.59,24,64.73,23,81.97,20,78.77,30,92.55,19,32,10,3.43
AZE,Azerbaijan,Europe - Asie centrale,2022,39.4,154,37.66,155,23.76,167,48.25,140,58.86,124,28.48,155,167,13,
AZE,Azerbaijan,EEAC,2023,39.93,151,35.45,165,25.91,173,38.95,149,50,135,49.35,126,154,3,0.53
AZE,Azerbaijan,EEAC,2024,27.99,164,17.08,173,18.01,179,35.85,154,37.76,147,31.27,159,151,-13,-11.94
AZE,Azerbaijan,EEAC,2025,25.47,167,17.44,164,16.15,175,35.02,154,30.2,164,28.57,160,164,-3,-2.52
BDI,Burundi,Afrique,2022,55.74,107,50.03,114,44.67,80,59.55,113,52.78,139,71.66,77,147,40,
BDI,Burundi,Afrique,2023,52.14,114,51.5,109,48.82,75,55.41,116,52.12,131,52.84,118,107,-7,-3.6
BDI,Burundi,Afrique,2024,51.78,108,45.32,100,44.89,85,53.32,113,58.01,103,57.37,115,114,6,-0.36
BDI,Burundi,Afrique,2025,45.44,125,41.98,101,38.61,106,47.86,126,50.35,121,48.39,123,108,-17,-6.34
BEL,Belgium,Europe - Asie centrale,2022,78.86,23,75.03,30,71.22,15,79.3,37,87.4,24,81.35,43,11,-12,
BEL,Belgium,UE Balkans,2023,76.47,31,79.06,24,62.09,31,78.3,36,82.39,33,80.53,65,23,-8,-2.39
BEL,Belgium,UE Balkans,2024,81.49,16,81.96,16,71.41,14,79.49,24,86.51,7,88.1,52,31,15,5.02
BEL,Belgium,UE Balkans,2025,80.12,18,79.16,19,69.15,14,79.9,31,81.8,18,90.58,37,16,-2,-1.37
BEN,Benin,Afrique,2022,48.39,121,47.73,117,28.19,158,57.46,118,55.5,132,53.1,119,114,-7,
BEN,Benin,Afrique,2023,52.44,112,48.98,119,39.83,125,56.01,111,63.49,89,53.9,117,121,9,4.05
BEN,Benin,Afrique,2024,56.73,89,47.68,93,39.48,115,57.31,102,63.33,83,75.83,93,112,23,4.29
BEN,Benin,Afrique,2025,54.6,92,40.69,108,359.91,121,55.21,108,65.55,70,75.58,97,89,-3,-2.13
BFA,Burkina Faso,Afrique,2022,73.12,41,78.99,23,67.69,26,75.58,52,87.83,22,55.52,113,37,-4,
BFA,Burkina Faso,Afrique,2023,67.64,58,62.81,57,58.33,41,67.45,69,81.25,38,75.55,83,41,-17,-5.48
BFA,Burkina Faso,Afrique,2024,58.24,86,47.94,92,54.89,47,62.8,84,63.92,79,61.64,108,58,-28,-9.4
BFA,Burkina Faso,Afrique,2025,52.25,105,41.9,102,50.38,55,59.41,95,62.75,80,46.82,126,86,-19,-5.99
BGD,Bangladesh,Asie-Pacifique,2022,36.63,162,42.12,140,32.48,138,44.15,148,48.5,149,15.88,172,152,-10,
BGD,Bangladesh,Asie-Pacifique,2023,35.31,163,39.06,154,36.11,142,35.22,154,36.55,157,29.6,167,162,-1,-1.32
BGD,Bangladesh,Asie-Pacifique,2024,27.64,165,19.36,167,27.83,167,31.32,158,32.65,157,27.03,167,163,-2,-7.67
BGD,Bangladesh,Asie-Pacifique,2025,33.71,149,29.03,145,33.79,134,36.71,150,39.87,144,29.17,159,165,16,6.07
BGR,Bulgaria,Europe - Asie centrale,2022,59.12,91,54.95,95,30.1,150,68.71,76,66.83,97,75.02,60,112,21,
BGR,Bulgaria,UE Balkans,2023,62.98,71,58.25,73,37.91,133,70.25,57,65.53,81,82.94,53,91,20,3.86
BGR,Bulgaria,UE Balkans,2024,65.32,59,60.63,50,41.6,105,72.24,50,67.06,70,85.08,61,71,12,2.34
BGR,Bulgaria,UE Balkans,2025,60.78,70,50.62,73,40.26,97,67.71,66,59.1,94,86.22,61,59,-11,-4.54
BHR,Bahrain,Maghreb - Moyen-Orient,2022,30.97,167,35.15,161,21.43,170,28.95,170,39.67,164,29.65,153,168,1,
BHR,Bahrain,MENA,2023,30.59,171,30.63,175,25.25,176,21.93,173,33.52,162,41.64,141,167,-4,-0.38
BHR,Bahrain,MENA,2024,23.21,173,17.46,171,20.92,174,19.81,175,20.7,175,37.15,150,171,-2,-7.38
BHR,Bahrain,MENA,2025,30.24,157,25.38,151,24.74,167,266.48,163,30.34,163,44.1,131,173,16,7.03
BIH,Bosnia-Herzegovina,Europe - Asie centrale,2022,65.64,67,61.56,69,40.23,101,79.57,35,71.86,79,74.95,61,58,-9,
BIH,Bosnia-Herzegovina,UE Balkans,2023,65.43,64,55.27,90,45.1,100,77.54,38,71.02,73,78.24,76,67,3,-0.21
BIH,Bosnia-Herzegovina,UE Balkans,2024,58.85,81,44.53,104,40.34,112,67.4,71,58.87,100,83.12,70,64,-17,-6.58
BIH,Bosnia-Herzegovina,UE Balkans,2025,56.33,86,45.74,89,37.91,108,67.46,67,61.4,85,69.16,105,81,-5,-2.52
BLR,Belarus,Europe - Asie centrale,2022,39.62,153,32.93,169,48.75,59,37.23,158,60.33,118,18.85,164,158,5,
BLR,Belarus,EEAC,2023,37.17,157,32.34,174,47.67,82,28.07,167,48.3,139,29.45,168,153,-4,-2.45
BLR,Belarus,EEAC,2024,26.8,167,15.94,175,36.34,132,18.8,176,38.69,143,24.21,171,157,-10,-10.37
BLR,Belarus,EEAC,2025,25.73,166,13.27,174,36.14,117,19.04,172,36.65,149,23.52,171,167,1,-1.07
BLZ,Belize,AmÃ©riques,2022,70.67,47,70,47,52.04,48,63.6,100,82,38,85.71,28,53,6,
BLZ,Belize,AmÃ©riques,2023,70.49,51,61.98,62,53.92,54,68.11,66,79.55,46,88.89,27,47,-4,-0.18
BLZ,Belize,AmÃ©riques,2024,66.85,54,51.57,76,49.48,62,62.18,86,77.98,34,93.06,14,51,-3,-3.64
BLZ,Belize,AmÃ©riques,2025,68.32,47,53.15,64,48.25,61,63.99,77,81.36,21,94.83,6,54,7,1.47
BOL,Bolivia,AmÃ©riques,2022,47.58,126,44.55,133,33.67,132,58.77,114,45,155,55.89,112,110,-16,
BOL,Bolivia,AmÃ©riques,2023,51.09,117,46.53,127,45.72,96,60.12,97,56.4,119,46.68,130,126,9,3.51
BOL,Bolivia,AmÃ©riques,2024,48.88,124,31.24,145,38.08,121,57.59,100,59.79,97,57.7,113,117,-7,-2.21
BOL,Bolivia,AmÃ©riques,2025,54.09,93,34.87,131,37.3,111,62.41,87,63.06,78,72.8,99,124,31,5.21
BRA,Brazil,AmÃ©riques,2022,55.36,110,51.62,105,37.59,115,69.74,69,70,83,47.86,124,111,1,
BRA,Brazil,AmÃ©riques,2023,58.67,92,55.79,82,52.59,59,72.44,51,76.22,57,36.3,149,110,18,3.31
BRA,Brazil,AmÃ©riques,2024,58.59,82,57.89,55,44.68,86,66.88,73,57.14,105,66.37,104,92,10,-0.08
BRA,Brazil,AmÃ©riques,2025,63.8,63,61.52,43,47.29,66,66.81,71,61.3,86,82.11,78,82,19,5.21
BRN,Brunei,Asie-Pacifique,2022,42.53,144,40.61,146,30.61,148,28.51,171,34,171,78.91,50,154,10,
BRN,Brunei,Asie-Pacifique,2023,44.2,142,49.84,113,34.8,151,30.66,162,29.88,170,75.83,82,144,2,1.67
BRN,Brunei,Asie-Pacifique,2024,50.09,117,49.42,82,45.16,83,41.08,141,37.83,146,76.99,89,142,25,5.89
BRN,Brunei,Asie-Pacifique,2025,53.47,97,46.03,88,48.19,63,43.58,138,43.7,137,85.85,65,117,20,3.38
BTN,Bhutan,Asie-Pacifique,2022,76.46,33,78.79,25,62.24,34,70.39,67,77,60,93.88,4,65,32,
BTN,Bhutan,Asie-Pacifique,2023,59.25,90,62.08,61,50.49,66,46.54,134,49.51,136,87.62,31,33,-57,-17.21
BTN,Bhutan,Asie-Pacifique,2024,37.29,147,25.8,154,31.04,162,29.62,165,28.57,169,71.43,97,90,-57,-21.96
BTN,Bhutan,Asie-Pacifique,2025,32.62,152,20.63,161,22.34,170,20.95,169,19.16,174,80,83,147,-5,-4.67
BWA,Botswana,Afrique,2022,58.49,95,56.97,86,37.24,116,56.36,122,69.75,85,72.11,75,38,-57,
BWA,Botswana,Afrique,2023,64.61,65,55.63,84,50.44,67,58.07,103,78.79,48,80.14,69,95,30,6.12
BWA,Botswana,Afrique,2024,59.78,79,49.9,80,42.56,97,57.28,103,69.56,61,79.59,82,65,-14,-4.83
BWA,Botswana,Afrique,2025,57.64,81,50.93,71,39.18,103,54.05,112,68.18,59,75.87,96,79,-2,-2.14
CAF,Central African Republic,Afrique,2022,56.96,101,51.21,107,41.07,99,62.06,103,68.25,92,62.19,102,126,25,
CAF,Central African Republic,Afrique,2023,57.56,98,53.39,99,49.02,74,63.88,86,66.56,78,54.97,112,101,3,0.6
CAF,Central African Republic,Afrique,2024,60.12,76,48.55,87,44.97,84,64.42,78,62.9,86,79.76,80,98,22,2.56
CAF,Central African Republic,Afrique,2025,60.15,72,50.68,72,40.79,94,65.16,73,67.3,61,76.82,93,76,4,0.03
CAN,Canada,AmÃ©riques,2022,81.74,19,82.27,16,71.17,16,80.26,33,92,6,82.99,37,14,-5,
CAN,Canada,AmÃ©riques,2023,83.53,15,88.13,8,72.22,17,86.48,7,88.26,15,82.56,54,19,4,1.79
CAN,Canada,AmÃ©riques,2024,81.7,14,86.23,11,66.35,21,83.75,11,82.38,22,89.76,36,15,1,-1.83
CAN,Canada,AmÃ©riques,2025,78.75,21,82.97,14,63.27,24,81.73,22,78.11,33,87.66,55,14,-7,-2.95
CHE,Switzerland,Europe - Asie centrale,2022,82.72,14,90,8,68.37,21,80.99,29,88.33,21,85.92,27,10,-4,
CHE,Switzerland,UE Balkans,2023,84.4,12,87.42,10,72.79,15,77.95,37,92.33,4,91.52,15,14,2,1.68
CHE,Switzerland,UE Balkans,2024,84.01,9,87.78,8,72.32,11,78.85,27,85.2,11,95.92,4,12,3,-0.39
CHE,Switzerland,UE Balkans,2025,83.98,9,85.7,9,73.21,9,83.73,15,83.4,15,93.86,12,9,0,-0.03
CHL,Chile,AmÃ©riques,2022,60.61,82,65.03,59,42.86,86,67.63,82,72.4,77,55.15,115,54,-28,
CHL,Chile,AmÃ©riques,2023,60.09,83,70.8,41,47.48,84,65.09,79,65.58,80,51.49,124,82,-1,-0.52
CHL,Chile,AmÃ©riques,2024,67.32,52,68.84,32,46.98,76,68.75,64,68.45,65,83.57,68,83,31,7.23
CHL,Chile,AmÃ©riques,2025,62.25,69,65.01,34,41.94,88,64.1,76,57.77,98,82.41,77,52,-17,-5.07
CHN,China,Asie-Pacifique,2022,25.17,175,27.45,176,26.02,164,23.25,175,33.3,172,15.84,173,177,2,
CHN,China,Asie-Pacifique,2023,22.97,179,26.06,178,29.51,167,17.36,178,17.07,177,24.87,173,175,-4,-2.2
CHN,China,Asie-Pacifique,2024,23.36,172,19.14,168,29.65,163,22.28,172,21.79,173,23.93,172,179,7,0.39
CHN,China,Asie-Pacifique,2025,14.8,178,9.78,179,20.53,171,11.23,179,15.73,176,16.74,174,172,-6,-8.56
CIV,Côte d'Ivoire,Afrique,2022,74.46,37,74.89,31,58.45,39,75.94,50,81.43,41,81.6,41,66,29,
CIV,Côte d'Ivoire,Afrique,2023,68.83,54,66.98,45,58.01,43,71.07,54,76.33,56,71.79,90,37,-17,-5.63
CIV,Côte d'Ivoire,Afrique,2024,66.89,53,61.43,49,55.05,45,74.63,40,73.08,51,70.28,99,54,1,-1.94
CIV,Côte d'Ivoire,Afrique,2025,63.69,64,57.47,52,49.99,57,70.7,51,70.29,57,70.02,103,53,-11,-3.2
CMR,Cameroon,Afrique,2022,49.1,118,48.05,116,35.71,123,56.89,121,67.57,94,37.25,140,135,17,
CMR,Cameroon,Afrique,2023,45.58,138,42.5,141,35.99,144,44.07,141,58.77,107,46.58,131,118,-20,-3.52
CMR,Cameroon,Afrique,2024,44.95,130,43.68,107,34.09,144,52.71,115,59.31,99,34.97,153,138,8,-0.63
CMR,Cameroon,Afrique,2025,42.75,131,41.11,107,32.84,141,49.36,121,57.39,99,33.04,153,130,-1,-2.2
COD,DR Congo,Afrique,2022,47.66,125,51.33,106,41.43,95,60.88,108,60.3,119,24.34,161,149,24,
COD,DR Congo,Afrique,2023,48.55,124,51.03,110,44.36,109,52,122,59.94,101,35.42,153,125,1,0.89
COD,DR Congo,Afrique,2024,48.91,123,46.52,97,42.29,99,51.54,117,65.83,73,38.34,147,124,1,0.36
COD,DR Congo,Afrique,2025,42.31,133,40.47,110,34.77,130,48.08,124,56.28,104,31.94,154,123,-10,-6.6
COG,Congo-Brazzaville,Afrique,2022,58.64,93,58.06,83,48.57,61,64.21,95,62.6,112,59.76,108,118,25,
COG,Congo-Brazzaville,Afrique,2023,60.42,81,57.58,76,45.71,97,62.15,90,58.52,108,78.17,77,93,12,1.78
COG,Congo-Brazzaville,Afrique,2024,62.57,69,54.28,70,42.92,95,63.27,82,67.14,69,85.24,60,81,12,2.15
COG,Congo-Brazzaville,Afrique,2025,60.58,71,51.68,69,40.76,95,62.31,88,62.44,83,85.72,67,69,-2,-1.99
COL,Colombia,AmÃ©riques,2022,42.43,145,44.7,130,32.27,142,60.42,109,50.38,146,24.4,160,134,-11,
COL,Colombia,AmÃ©riques,2023,45.23,139,55.63,84,35.05,149,64.1,83,37.37,156,34.01,155,145,6,2.8
COL,Colombia,AmÃ©riques,2024,49.63,119,48.05,90,37.58,124,72.71,48,48.08,132,41.75,139,139,20,4.4
COL,Colombia,AmÃ©riques,2025,49.8,115,48.5,83,35.43,123,69.16,55,45.8,132,50.12,121,119,4,0.17
COM,Comoros,Afrique,2022,60.16,83,56.36,88,50.26,57,59.98,112,75.63,66,58.56,109,84,1,
COM,Comoros,Afrique,2023,62.25,75,55.09,92,49.72,72,65.36,78,61.85,92,79.21,73,83,8,2.09
COM,Comoros,Afrique,2024,61.47,71,48.84,85,52.19,54,62.02,87,65.71,74,78.57,86,75,4,-0.78
COM,Comoros,Afrique,2025,59.27,75,50.25,75,47.13,67,62.07,89,60.84,89,76.08,94,71,-4,-2.2
CPV,Cabo Verde,Afrique,2022,75.37,36,72.55,39,62.76,32,77.98,44,75.4,68,88.16,19,27,-9,
CPV,Cabo Verde,Afrique,2023,75.72,33,73.86,34,60.78,34,73.76,49,80.17,42,90.01,25,36,3,0.35
CPV,Cabo Verde,Afrique,2024,72.77,41,69.51,28,54.25,48,74.7,39,73.35,50,92.03,25,33,-8,-2.95
CPV,Cabo Verde,Afrique,2025,74.98,30,72.56,25,54.34,43,77.47,36,76.47,39,94.06,10,41,11,2.21
CRI,Costa Rica,AmÃ©riques,2022,85.92,8,81.62,17,72.96,11,87.72,6,92.5,4,94.78,3,5,-3,
CRI,Costa Rica,AmÃ©riques,2023,80.2,23,65.94,48,70.59,22,85.93,8,87.97,16,90.56,21,8,-15,-5.72
CRI,Costa Rica,AmÃ©riques,2024,76.13,26,57.41,58,63.89,28,83.97,9,82.8,19,92.59,18,23,-3,-4.07
CRI,Costa Rica,AmÃ©riques,2025,73.09,36,49.96,76,61.69,28,85,10,76.68,37,92.13,24,26,-10,-3.04
CSS,OECS,AmÃ©riques,2023,58.36,93,55.47,87,45.34,99,54.01,119,59.94,101,77.04,80,55,-38,
CSS,OECS,AmÃ©riques,2024,62.83,68,54.63,66,50.4,56,57.01,105,65.28,75,86.82,57,93,25,4.47
CSS,OECS,AmÃ©riques,2025,68.08,48,55.27,58,47.96,65,68.79,58,75.98,41,92.4,22,68,20,5.25
CTU,Northern Cyprus,Europe - Asie centrale,2022,61.08,81,56.48,87,38.78,108,69.82,68,60.2,120,80.14,46,76,-5,-7
CTU,Northern Cyprus,UE Balkans,2023,61.73,76,56.18,80,42.92,114,63.1,87,63.45,90,83.01,52,81,5,
CTU,Northern Cyprus,UE Balkans,2024,56.72,90,46.9,96,42.61,96,56.12,108,53.25,116,84.74,63,76,-14,-5.01
CTU,Northern Cyprus,UE Balkans,2025,54.84,91,44.33,95,34.94,128,58.06,98,49.67,122,87.21,58,90,-1,-1.88
CUB,Cuba,AmÃ©riques,2022,27.32,173,27.27,177,39.8,104,15.79,180,27.5,175,26.24,158,171,-2,-27.52
CUB,Cuba,AmÃ©riques,2023,29,172,32.85,172,35.73,146,14.36,180,29.94,169,32.14,158,173,1,
CUB,Cuba,AmÃ©riques,2024,25.63,168,14.86,176,24.48,171,15.63,180,30.16,162,43.05,134,172,4,-3.37
CUB,Cuba,AmÃ©riques,2025,26.03,165,13.75,172,19.07,174,18.24,174,35.46,152,43.64,136,168,3,0.4
CYP,Cyprus,Europe - Asie centrale,2022,65.97,65,61.21,70,42.09,91,74.56,56,65.75,101,86.25,26,26,-39,39.94
CYP,Cyprus,UE Balkans,2023,68.62,55,64.66,50,53.12,56,71.89,52,64.98,85,88.44,29,65,10,
CYP,Cyprus,UE Balkans,2024,63.14,65,55.8,61,47.44,73,67.9,66,55.4,111,89.19,42,55,-10,-5.48
CYP,Cyprus,UE Balkans,2025,59.04,77,51.97,65,41.78,90,64.5,75,48.67,126,88.3,50,65,-12,-4.1
CZE,Czechia,Europe - Asie centrale,2022,80.54,20,79.66,22,61.56,36,84.21,18,88.44,20,88.81,17,40,20,21.5
CZE,Czechia,UE Balkans,2023,83.58,14,82.19,19,65.52,28,86.64,6,91.29,6,92.27,11,20,6,
CZE,Czechia,UE Balkans,2024,80.14,17,80.21,18,62.58,30,80.18,21,85.16,12,92.58,19,14,-3,-3.44
CZE,Czechia,UE Balkans,2025,83.96,10,84.64,11,65.41,22,88.22,6,87.66,4,93.87,11,17,7,3.82
DEU,Germany,Europe - Asie centrale,2022,82.04,16,87.03,10,80.07,7,87.08,8,89.47,17,66.58,91,13,-3,-1.92
DEU,Germany,UE Balkans,2023,81.91,21,87.33,12,82.31,6,85.85,9,87.19,19,66.88,96,16,-5,
DEU,Germany,UE Balkans,2024,83.84,10,85.22,14,77.63,6,84.69,8,82.38,22,89.29,40,21,11,1.93
DEU,Germany,UE Balkans,2025,83.85,11,84.87,10,77.9,8,84.72,11,80.93,23,90.82,35,10,-1,0.01
DJI,Djibouti,Afrique,2022,35.75,164,32.73,170,16.12,177,37.72,157,37.6,165,54.56,117,176,12,-48.1
DJI,Djibouti,Afrique,2023,35.87,162,39.25,152,25.49,174,34.53,157,28.18,172,51.9,121,164,2,
